id,question,answer
3309,لہ مال یہاں پراگرجارمجرورکیلےمتعلق فعل نکالے توترکیب کس طرح ہوگا,یہاں فعل نہیں نکالیں گے بلکہ اسم فاعل نکالیں گے
3310,سعد اور انس کونسے صیغے ہیں وضاحت کر دیں,سعد اور انس دونوں اسم جامد ثلاثی مجرد \nسعد صحیح اور انس مہموز الفاء ہیں
3311,کلمہ کس کو کہتے ہیں \n,وہ لفظ جو کسی معنی پر دلالت کرے کلمہ کہلاتا ہے
3312,نحو کو نحو کیو کہتے ہیں,"نحو کو نحو کہنے کی وجہ یہ ہے کہ یہ لفظ عربی زبان کے لفظ ""نحو"" سے مشتق ہے، جس کا مطلب ہے ""راستہ"" یا ""طریقہ""۔\nنحو کا مقصد یہ ہے کہ وہ الفاظ اور جملوں کو صحیح طریقے سے استعمال کرنے کا طریقہ سکھائے، تاکہ لوگ اپنے خیالات اور معنی کو واضح اور صحت مند طریقے سے ظاہر کر سکیں۔\nاس لیے، نحو کو نحو کہا جاتا ہے کیونکہ یہ الفاظ اور جملوں کو صحیح طریقے سے استعمال کرنے کا راستہ یا طریقہ ہے۔"
3313,تَرُدَّ کی صرفی تحقیق کیا ہو گی ؟,صیغہ واحد مذکر حاضر / واحد مؤنث غائب فعل مضارع مثبت معروف ثلاثی مجرد مضاعف از باب نصر ینصر \nاصل میں تَرْدُدُ تھا \n\nقاعدہ قاعدہ نمبر 3\nمذکورہ بالا صورت میں اگر ماقبل حرف ساکن غیر مدہ ہو تو پہلے حرف کی حرکت کو اس حرف کی طرف نقل کر کے ادغام کریں گے\nمذکورہ بالا صورت میں اگر ماقبل حرف ساکن غیر مدہ ہو تو پہلے حرف کی حرکت کو اس حرف کی طرف نقل کر کے ادغام کریں گے\n\nاس قاعدے کے تحت ادغام کیا \n\n\n\n\n
3314,لہ مال یہاں جارمجرورکیلےمتعلق اسم فاعل ہوگا فعل کیوں نہیں ہوسکتا,لہ کا متعلق اسم فاعل ہی ہوگا فعل اس لئے نہیں ہوگا کہ جار  مجرور خبر کے مقام پر ہیں فعل نکالیں گے تو خبر مقدم جملہ ہو جائے
3315,کیل کی صرفی تحقیق\n,صیغہ مصدر، اسم، ثلاثی مجرد، اجوف واوی از باب ضرب یضرب
3316,جزاک اللہ  کی تر کیب,جزا فعل اللہ فاعل کاف ضمیر مفعول بہ \nفعل فاعل مفعول بہ ملکر جملہ فعلیہ انشائیہ
3317,مودۃ کونسا صیغہ ہے ؟,مصدر میمی ثلاثی مجرد مضاعف از باب نصر ینصر
3318,صلى الله تعالى عليه وعلى اله وسلم  کی ترکیب بتا دیں,صلی فعل اللہ اسم جلالت فاعل \nعلی جار \nھاء ضمیر معطوف علیہ \nو حرف عطف \nآل مضاف ھاء ضمیر مضاف الیہ مضاف مضاف الیہ ملکر معطوف علیہ معطوف معطوف علیہ ملکر مجرور جار مجرور ملکر ظرف لغو فعل فاعل ظرف لغو سے ملکر جملہ فعلیہ انشائیہ \nسلم فعل ھو ضمیر فاعل فعل فاعل ملکر جملہ فعلیہ انشائیہ \n
3319,الرماح الطوال من الحدید کا ترجمہ   ااور کیا یہ جملہ درست ہے,لمبے نیزے لوہے کے ہیں \nجی جملہ درست ہے
3320,ھوالصوب کی ترکیب کیا  ہے,ھو مبتدا \nالصواب خبر ۔مبتدا خبر ملکر جملہ اسمیہ خبریہ \nترجمہ وہ درست ہے
3321,اسم جامد کی پہچان کیسے ہوگی؟,اسم جامد کی پہچان کا نارمل طریقہ یہ ہے کہ وہ اسم جو کسی ایسی چیز پر دلالت کرے جو کسی چیز کا نام ہو کوئی فعل یا کام نا ہو اور نا ہی صفت والا معنی ہو \nجیسے زید بکر رنگ گدھا گھوڑا
3322,ان اللہ علی کل شیء قدیر کی ترکیب کس طرح ہو گی ؟,اصل عبارت ہوگی ان اللہ قدیر علی کل شی\nان حرف مشبہ بالفعل \nلفظ اللہ اسم جلالت اسم\nقدیر صفت مشبہ \nعلی حرف جر \nکل مضاف \nشی مضاف الیہ\nعلی حرف جر مضاف سے ملکر ظرف لغو ہوکر خبر \nان اپنے اسم اور خبر سے ملکر جملہ اسمیہ خبریہ \n
3323,کتب احادیث میں جو باب ذکر کیے گئے ہیں ۔ان میں کسی بھی باب کاترجمہ کرنےکاطریقہ کیاہوناچاہیے؟,جیسے باب فی الطھارۃ \nطھارت کے متعلق باب\nطھارت کے بارے میں باب
3324,النساءُ کی صرفی تحقیق,نساء، در اصل امراۃ کی جمع ہے۔ اس میں صرفی قاعدہ کوئی جاری نہیں ہوا۔
3325,احدی و خمسون میں عامل و معمول کس کو بنائیں گے,احدی کا عامل تو ما قبل عبارت سے پتہ چلے گا \nلیکن شاید یہ نور الایضاح کے بیان سنن کی عبارت ہے تو اس کا عامل معنوی ہوگا خبر اور خمسون معمول تبعی ہے یعنی احدی پر معطوف ہے
3326,انطلاق کی صرفی تحقیق,مصدر ثلاثی مزید فیہ صحیح از باب انفعال
3327,الذین آمنوا میں الذین کون سا اسم ھے,اسم موصول ہے
3328,کیف حالک جملہ خبریہ ہے اس میں استفہام ہے یہ توانشإیہ ہونی چاہیے یہ خبریہ کیوں ہے,یہ جملہ انشائیہ ہی ہے
3329,مرکب اضافی کسے کہتے ہیں,جس مرکب ناقص میں ایک جملے کی
3330,جیران واحد تثنیہ جمع میں سے کیاہے؟\nجب ترجمہ  دیکھیں تو اس کا مطلب ہے پڑوسی۔ یعنی واحد کےلیے آرہا ہے جبکہ یہ تو جمع کثرت کے اوزان میں سے ایک ہے\nجیسے فعلان بروزن جیران,جی آپ نے بالکل درست فرمایا کہ جیران یہ جمع کے اوزان میں سے ہے۔ اب اس کا ترجمہ پڑوسی کیا جاتا ہے۔ تو پڑوسی کو آپ سمجھ لیجیے کہ یہ اردو میں اسم جنس ہے۔۔۔ جس کا اطلاق ایک اور ایک سے زیادہ کئی افراد پر ہوتا ہے۔ اسی مناسبت سے جیران کا ترجمہ پڑوسی کیا جاتا ہے کہ یہاں ایک سے اوپر والے افراد مراد ہیں
3331,تحر یم کی صرفی تحقیق,اسم، مصدر ثلاثی مزید فیہ، صحیح از باب افتعال
3332,اعراب محلی کیسے کہتے ہیں,یہ مبنی اسماء کا اعراب ہوتا ہے \nتعریف : وہ کلمہ جس میں کسی صورت اعراب ظاہر نا ہوسکتا ہو اگر کسی جگہ محل اعراب میں واقع ہو تو اس کا اعراب محلی ہوگا
3333,لیظھرہ کونسا صیغہ ہے,یُظْھِر  صیغہ واحد مذکر غائب فعل مضارع مثبت معروف ثلاثی مزید فیہ صحیح از باب افعال
3334,ثابت کا معنی کیا ہے ؟اور ترکیب کرتے ہوئے جار مجرور مل کر  ثابت کے متعلق کیوں کرتے ہیں ؟,ثابت کا معنی جب جار مجرور اس کے متعلق ہوں تو ہونا کا معنی دیتا ہے \nجیسے زید گھر میں ہے تو یہاں ہے کا معنی ثابت کی وجہ سے آیا ہے \nجار مجرور ثابت کے متعلق کرنا ضروری نہیں دوسرے افعال عموم کے متعلق بھی کر سکتے ہیں \nافعال عموم \nکون وجود حصول استقرارثبوت وغیرہ ہیں
3335,بِیعُ کی صرفی تحقیق.,مصدر ثلاثی مجرد اجوف یائی از باب ضرب یضرب
3336,یاالہ العلمین،کا اعراب بیان کریں،؟,یا حرف ندا مبنی علی السکون \n\nالہ حالت نصبی فتحہ سے بوجہ مفعول بہ ہونے کے \nالعلمین حالت جری یاء سے بوجہ مضاف الیہ ہونے کے
3337,ھمیں کیسے پتا چلے گا کہ فلاں صیغہ اسم مبالغہ کا ہے یا صفت مشبہ کا جبکہ ترجمہ میں زیادتی کا معنی بھی نہ پتہ چلے جیسے الیم \nاور کیا کوئی صیغہ ان دونوں کر صادق آسکتا ہے,اگر مفھوم سے واضح نہ ہو تو ان کے اوزان کی طرف مراجعت اختیار کریں گے \nویسے عموما ایسا ہوتا نہیں ہے کیوں کہ صفت مشبہ کی دلالت دائمی صفت پر ہوتی ہے \nاور مبالغہ میں دیگر کے مقابلے میں زیادتی
3338,فاعله کیاہے,فاعلۃ\nاسم فاعل موئث واحد\nثلاثی مجرد صحیح سالم باب نصر ینصر \n
3339,عرفات جو میدان کا نام ہے یہ معرب کی قسم جمع موئث سالم ہے ؟ اگر نہیں تو وجہ ارشاد فرماییے گا اس کے آخر میں الف اور تاء  آ تو رہا ہے 🤔,عرفات یہ جمع مونث سالم نہیں ہے اس میں ان زائداتان ہے
3340,السلام علیکم میں کم ضمیر کیوں لائی گئی حالانکہ اکثر سامنے والا ایک ہی فرد ہوتا ہے تو جمع کی ضمیر کیوں لایی گئی راہنمائی کی مدنی عرض ہے,کم ضمیر خطاب ہے \nسامنے والا اگر چہ واحد ہے لیکن اس کے ساتھ دو فرشتے ہوتے ہیں جس سبب ان پر بھی سلام پیش ہوتا ہے اس وجہ سے جمع لائی جاتی ہے ضمیر
3341,نون قطنی کیا ہے اور اس کا ضابطہ کیا ہے وضاحت کیجئے ؟,وہ چھوٹا ن جو عربی میں ساکن یا مشدد حرف سے پہلے تنوین والے حرف پر لکھا جاتا ہے، اس سے پہلے جہاں کہیں الف آئے وہ پڑھا نہیں جاتا۔
3342,بلغني انك عالم تركيب,بلغ فعل، نون وقایہ، ی ضمیر منصوب متصل مفعول بہ۔ \nان حرف مشبہ بالفعل، ک ضمیر منصوب متصل حرف مشبہ بالفعل کا اسم، عالم۔ خبر\nحرف مشبہ بالفعل باسم و خبر بلغ فعل کے لیے فاعل\nفعل بفاعل و مفعول جملہ فعلیہ خبریہ
3343,بلال کون سا صیغہ ہے,بلال بروزن فعال اسم فاعل سے جمع مکسر کے وزن پر ہے
3344,ق کا اصل کیا ہے ؟\n,قِ فعل امر اصل میں اِوقِی تھا
3345,جھل صیغہ,صیغہ واحد مذکر غائب فعل ماضی مثبت معروف ثلاثی مجرد صحیح از باب سمع یسمع
3346,ایماءً کی صرفی تحقیق مع تعلیل بیان فرما دیں,مصدر ثلاثی مزید فیہ مہموز الفاء و ناقص یائی از باب افعال\nاصل میں اِءْمَایٌ تھا \nقاعدہ \nواؤ یا ياء لام کلمہ میں الف زائدہ کے بعد واقع ہوں تو انہیں ہمزہ سے بدل دینا واجب ہے\n\nاس قاعدے کے تحت یاء کو ھمزہ سے بدلا تو اِءْمَاء ہوگیا \nقاعدہ ن\nاگر کسی کلمہ میں دو ہمزہ آجائیں اور دوسرا ساکن ہو تو اسے ماقبل حرف کی حرکت کے مطابق حرفِ علت سے بدلنا واجب ہے\n\nاس قاعدے کے تحت دوسرے ہمزہ کو یاء سے بدلا تو ایماء ہوگیا \n\n\n\n\n
3347,اللهم غيرني حتى تحبني ۔۔۔۔اس کی ترکیب بتا دیجئے,اللھم اصل میں یا اللہ تھا \nیا قائم مقام ادعو اس میں انا ضمیر فاعل \nاللہ اسم  جلالت مفعول بہ \nفعل فاعل مفعول بہ ملکر جملہ فعلیہ انشائیہ \nغیر فعل انت ضمیر مستتر فاعل\nنون وقایہ یاء ضمیر مفعول بہ \nحتی حرف جر \nتحب فعل انت ضمیر مستتر فاعل نون وقایہ یاء ضمیر متکلم مفعول بہ فعل فاعل مفعول بہ ملکر جملہ فعلیہ خبریہ ہو کر ان مصدریہ محذوف کے ساتھ ملکر مصدر مؤول ہو کر مجرور \nجار مجرور ملکر ظرف لغو فعل فاعل مفعول بہ ظرف لغو ملکر جملہ فعلیہ انشائیہ
3348,صَا رَ کی صرفی تحقیق,صیغہ واحد مذکر غائب فعل ماضی مثبت معروف ثلاثی مجرد اجوف یائی از باب ضرب یضرب \nاصل میں صَیَرَ تھا \nیاء متحرک ما قبل مفتوح کو الف کے ساتھ بدلا تو صار ہوگیا
3349,فعل ماضی مطلق مثبت معروف کی گردان کا صیغہ جمع مونث غائب بنانے کا طریقہ بتائیں,بنانے کا خاص قاعدہ تو نہیں البتہ نون نسوۃ کا اضافہ کیا جاتا ہے جیسے ضرب سے ضربن
3350,واذا تزوَّج العبد حرۃ فنفقتھا دین علیہ ،یباع فیھا,و وصلیہ \nاذان حرف شرط\nتزوج فعل \nالعبد فاعل \nحرۃ مفعول بہ فعل اپنے فاعل اور مفعول بہ سے ملکر شرط\nف جزائیہ\nنفقتھا مضاف مبتداء گا مضاف الیہ \nدین موصوف \nعلی حرف جر \nہ مجرور\nیباع فیھا صفت \nموصوف اپنے صفت اور ظرف سے ملکر خبر\nمبتداء خبر ملکر جزاء\nشرط اپنی جزاء سے ملکر جملہ شرطیہ
3351,لفظ (قرآن) کیا ہے مثال کے ساتھ بتایۓ,"لفظ قرآن کا معنی ہے ""پڑھنا"" یا ""تلاوت کرنا""۔ قرآن پاک اللہ تعالیٰ کی وہ مقدس کتاب ہے جو حضرت محمد صلی اللہ علیہ وسلم پر نازل کی گئی تھی۔\nمثال کے طور پر\n""میں نے قرآن پاک پڑھا۔""\nاس جملے میں لفظ قرآن کا استعمال قرآن پاک کی تلاوت یا پڑھنے کے معنی میں کیا گیا ہے۔\nلفظ قرآن کی دیگر مثالیں:\n- ""قرآن پاک کی تلاوت کرنا""\n- ""قرآن پاک پڑھنا""- "
3352,شءت  اصل میں کیا تھا تعلیل بتایءں,شِئْتَ صیغہ واحد مذکر حاضر فعل ماضی مثبت معروف ثلاثی مجرد اجوف یائی ومہموز اللام از باب سمع یسمع \nاصل میں شَیَئْتَ تھا \nیاء متحرک ما قبل مفتوح کو الف سے بدلا تو شائْت ہوگیا اب الف اور ہمزہ ساکن ہیں الف کو حذف کیا تو شَئْتَ ہو گیا\n\nقاعدہ \nجب اجوف کی ماضی معروف یا مجہول میں عین کلمہ اجتماع ساکنین کی وجہ سے گر جائے تو فاء کلمہ کو ضمہ دیا جائے گا (جبکہ اجوف واوی مفتوح العین یا مضموم العین ہو) ورنہ (جبکہ اجوف يائی ہو یا اجوف واوی مکسور العین ہو تو) کسرہ دیں گے\n\nاس قاعدے کے تحت شین کو کسرہ دیا تو شِئْتَ ہو گیا \n\n
3353,لفظ ولادت کے واؤ کے نیچے کسرہ آنے کی وجہ کیا ہے ؟\n,ولادۃ مصدر ہے اور مصدر سماعی ہوتے ہیں اس پر کسرہ بھی سماعی ہے
3354,ادع میں ی کہا غاءب ہو گی,یہ امر ہے اصل میں ادعو تھا آخر سے واؤ بوجہ امر گر گئی
3355,صرف کی تعریف بیان کریں,وہ علم جس میں ایک کلمے سے دوسرے کلمے بنانے کا طریقہ سکھایا جائے
3356,جَازَ کی صرفی تحقیق کیا ہو گی,جاز صیغہ واحد مذکر غائب فعل ماضی مثبت معروف ثلاثی مجرد اجوف واوی از باب نصر ینصر \nاصل میں جَوَزَ تھا واؤ متحرک ما قبل مفتوح کو الف سے بدلا تو جاز ہو گیا
3357,لَم یَجز کی صرفی تحقیق کیا ہو گی,صیغہ واحد مذکر غائب فعل مضارع جحد بلم معروف ثلاثی مجرد اجوف واوی از باب نصر ینصر \nاصل میں لم یجُوز تھا واؤ پہلے ساکن تھا لم کی وجہ سے زاء بھی ساکن ہو گیا \nپھر اجتماع ساکنین کی وجہ سے حرف علت واؤ کو گرایا تو لم یجز ہو گیا
3358,اعراب اور حرکت میں کیا فرق ہے ؟,اعراب اور حرکت دونوں ہی عربی زبان کی نحو اور صرف کی اصطلاحات ہیں، لیکن ان کے درمیان فرق ہے۔\nاعراب:\nاعراب سے مراد ایک ایسا نظام ہے جو عربی زبان میں الفاظ اور جملوں کے آخر میں استعمال ہوتا ہے تاکہ ان کے معنی اور نحو کی قواعد کو واضح کیا جا سکے۔ اعراب کا استعمال عربی زبان میں بہت اہم ہے، کیونکہ یہ الفاظ اور جملوں کے معنی کو واضح کرتا ہے۔\nمثال:\nکتابٌ - اعراب کا استعمال الف کے آخر میں ہے۔\nحرکت:\nحرکت سے مراد ایک ایسا نشان ہے جو عربی زبان میں الفاظ کے اوپر یا نیچے لکھا جاتا ہے تاکہ ان کے تلفظ اور معنی کو واضح کیا جا سکے۔ حرکت کا استعمال عربی زبان میں بہت اہم ہے، کیونکہ یہ الفاظ کے تلفظ اور معنی کو واضح کرتا ہے۔\nمثال:\nکِتَابٌ - حرکت کا استعمال کسری کے اوپر ہے۔\nفرق:\nاعراب اور حرکت کے درمیان فرق یہ ہے کہ اعراب الفاظ اور جملوں کے آخر میں استعمال ہوتا ہے، جبکہ حرکت الفاظ کے اوپر یا نیچے لکھی جاتی ہے۔ دونوں کا مقصد یہ ہے کہ وہ الفاظ اور جملوں کے معنی کو واضح کریں۔
3359,مسمیً کی تحقیق اور تعلیل بتادییجے,اسم مفعول ثلاثی مزید فیہ ناقص یائی باب تفعیل \nاصل میں مسمین تھا یاء پر ضمہ ثقیل ہوگیا اسے حذف کیا تو مسمن ہوگیا اسے ایسے بھی لکھا جا سکتا ہے مسمی
3360,اسم جامد کی پہچان کیسے ہوگی؟,اسم جامد کی پہچان کا نارمل طریقہ یہ ہے کہ وہ اسم جو کسی ایسی چیز پر دلالت کرے جو کسی چیز کا نام ہو کوئی فعل یا کام نا ہو اور نا ہی صفت والا معنی ہو \nجیسے زید بکر رنگ گدھا گھوڑا
3361,عوامل نحو کتنے ہیں,عوامل نحو 100 ہیں۔
3362,ترجمہ کیسے کریں,"عربی سے اردو ترجمہ کرنے کے لیے سب سے پہلے آپ کو مفردات کے معانی کی معلومات ہونا ضروری ہے۔\nکلمہ کی تینوں قسموں کی پہچان ہونا ضروری ہے۔\nافعال کے لازم و متعدی کی معلومات ہونا ضروری ہے۔\nیونہی افعال کے معروف و مجہول کی معلومات ہونا ضروری ہے۔\nنحوی لحاظ سے عامل و معمول کی پہچان ہونا ضروری ہے۔\nاور بھی بہت سی ضروری چیزیں ہیں۔۔۔ مزید ایسے قرآنی تراجم پر ان قواعد کو اپلائی کر کے دیکھیں جن میں مفرد انداز سے الگ الگ کلمہ کا ترجمہ لکھا گیا ہے: جیسے نور الایمان، معرفۃ القرآن\n\nمزید تفصیلا ترجمہ سیکھنے کے لیے مولانا تصور صاحب کی کتاب ""ترجمہ کیسے کریں"" دو حصوں میں ان کا مطالعہ مفید رہے گا۔"
3363,حل کی صرفی تحقیق,حل، صیغہ واحد مذکر غائب، فعل ماضی مثبت معروف، ثلاثی مجرد، مضاعف از باب ضرب یضرب
3364,اِيقَافُ کون سا صیغہ ہے,باب افعال کا مصدر ہے
3365,بلال جون سا صیغہ ہے,اسم فاعل جمع مکسر بروزن فعال
3366,حُطَّ کی صرفی تحقیق اور حروف اصلیہ بتا دیجیے,فعل ماضی، مثبت مجہول ، ثلاثی مجرد، مضاعف از باب نصر ینصر \nحروف اصلیہ۔۔ ح، ط، ط
3367,Yutiru ki sarfi tahqeeq,صیغہ واحد مذکر غائب، فعل مضارع مثبت معروف، ثلاثی مزید فیہ، مہموز و مثال، از باب افعال
3368,لیمحص کونسا صیغہ ہے\n,یُمَحِّص صیغہ واحد مذکر غائب فعل مضارع مثبت معروف ثلاثی مزید فیہ صحیح از باب تفعیل
3369,مضروب کون سا صیغہ ہے,صیغہ واحد مذکر اسم مفعول ثلاثی مجرد صحیح از باب ضرب یضرب
3370,صفت مشبہ ،اور اسم آلہ ،اسم ظرف جیسے اسماء کی صرفی تحقیق کیسے ہو گی کتنی چیزیں بتائیں جائیں گی راہنمائی فرما دیجئے,تمام چیزیں جو فعل میں بتائی جاتی ہیں \nجیسے کہ \nصیغہ گردان کا نام سہ اقسام شش اقسام ہفت اقسام باب \nیہ چھ چیزیں بتائی جائیں گی \n
3371,یَجُوزُ کی صرفی تحقیق\n,صیغہ واحد مذکر غائب فعل مضارع مثبت معروف ثلاثی مجرد اجوف واوی از باب نصر ینصر \nاصل میں یَجْوُزُ تھا \nقاعدہ نمبر 2\nواو یا یاء کا ماقبل حرف صحیح ساکن ہو تو ان کی حرکت مَاقبل  کو دینا واجب ہے اور اگر يہ حرکت فتحہ ہو تو واو یا یا کو الف  سے بدلنا بھی واجب ہے\nاس قاعدے کے تحت واؤ کی حرکت ج کو دے دی
3372,من رب ک میں من کون سا من ہے,من استفہامیہ ہے
3373,قتل زید کی ترکیب بتا دیں,قتل فعل زید فاعل فعل فاعل ملکر جملہ فعلیہ خبریہ
3374,لفظ مختار کونسا صیغہ ہے اور کس باب سے ہے,مختار میں دو احتمال ہیں \nایک اسم مفعول \nدوسرا اسم فاعل\n\nصیغہ واحد مذکر اسم فاعل/یا مفعول ثلاثی مزید فیہ اجوف یائی از باب افتعال \nاصل میں مختَیَر یا مختَیِر تھا \nدونوں میں ایک ہی قاعدہ جاری ہوا ہے \nواؤ متحرک ما قبل مفتوح کو الف سے بدلا تو تو مختار ہو گیا
3375,الھدی پر ضمہ ، فتحہ ،کسرہ  نورالایضاح اور مسلم شریف کی شرح میں پڑغا ہے اسلیے کنفیوژن ہو رہی ہےنورالایضاح کی شرح شارق الفلاح ہے,الھدی ضمہ کے ساتھ ہے جس کا مطلب ہوتا ہے ھدایت جیسے قرآن کریم میں ہے ھدی للمتقین
3376,الجوف ہفت\n اقسام,الجوف۔ ہفت اقسام میں اجوف واوی ہے۔
3377,فلیقل کی صرفی تحقیق کریں\n,واحد مذکر غائب \nفعل امر \nثلاثی مجرد \nاجوف واوی \nنصر ینصر
3378,تاویل کا کیا مطلب ہے ؟\n,کسی بات کی توضیح و تشریح کرنا \n
3379,tumtum    kon sa sega ha,یہ ایک فرضی صیغہ ہے قلتم کی طرح بس\n
3380,اسم ثلاثی مزید فیھ کچھ سیغے بتائیں\n,حِمار گدھا\nسراج چراغ \nثِمار پھل
3381,اَمْضِ کی صرفی تحقیق کیا ہو گی ؟,صیغہ واحد مذکر حاضر فعل امر حاضر معروف ثلاثی مزید فیہ ناقص یائی از باب افعال\nامضی تھا یاء بوجہ امر ساقط ہو گئی
3382,مسمیً کی تعلیل و تحقیق بیان فرما دیجئے,ماقبل میں بیان کردی گئے ہے
3383,Afal qaloob ka Bayan is chapter ki tarkeeben karni nahi aa rahi kaise karna chahie,جیسے مثال ہے صار زید عالما\nصار فعل ناقص \nزید اس کا اسم \nعالما خبر\nفعل ناقص اپنے اسم اور خبر سے ملکر جملہ خبریہ ہوا
3384,عبد الرحمن کون سا صیغہ ہے,عبد الرحمن۔ یہ مکمل سے صرفی صیغہ نہیں ہے، بلکہ عبد ایک الگ کلمہ ہے اور الرحمن الگ کلمہ۔\nعبد کا معنی بندہ اور رحمن صفت خداوندی ہے۔ \nرحمن صفت مشبہ کا صیغہ ہے
3385,فتح اور نصب اور زبر میں کیا فرق ہے,در اصل یہ ایک ہی حرکت جسے اردو زبان میں زبر کہتے ہیں اس کے عربی میں دو نام ہیں۔\nلیکن عربی میں ایک تقسیم ہے معرب و مبنی۔۔۔\nبس انہیں کی وجہ سے ان حرکات کے نام بدل جاتے ہیں۔۔\nمعرب کلمہ کے لیے نصب کی حرکت بولی جاتی ہے جبکہ مبنی کلمہ کی حرکت کے لیے فتح کی حرکت استعمال کی جاتی ہے۔
3386,قطفر کون سا صیغہ ہے \n,ایسے کسی صیغے تک رسائی نہیں ہو پائی۔
3387,کان العلم نورا کی کیا ترکیب ہے,کان \nفعل ناقص\nالعلم\nاس کا اسم\nنورا\nفعل ناقص کی خبر\nفعل اپنے اسم و خبر سے مل کر جملہ فعلیہ
3388,صرفی داںٔرہ کار کیسا ہوتا ہے,صرفی دائر کار کا مطلب یہی ہوتا ہے کہ صیغے کی صرفی تحقیق \nیعنی صیغہ سہ اقسام شش اقسام ہفت اقسام باب وغیرہ بتانا
3389,سورۃ الفاتحہ میں غیر المغضوب میں لفظ غیر پر کسرہ کس کی وجہ سے آیا ہے ،پیچھے کوئی عامل بھی نہیں کسرہ کس کی وجہ سے آیا ؟وضاحت فرماۓ؟,الذین انعمت علیھم کا بدل ہے
3390,ضع  کونسا صیغہ ہے,ضَعْ صیغہ واحد مذکر حاضر فعل امر حاضر معروف ثلاثی مجرد مثال واوی از باب فتح یفتح \nاصل تَضَعُ تھا مضارع بنانے کے لیے علامت مضارع کو حذف کیا تو ضَعْ بن گیا علامت مضارع کے بعد والا حرف متحرک تھا تو ہمزہ وصلیہ کی ضرورت نہیں تھی اس کئے ضَعْ ہی بچا
3391,اسمائے شرط کا عمل مثال کے ساتھ بیان کریں,اسم شرط کے بعد ایسا فعل ہو جو اس میں عمل کر رہا ہو تو اسم شرط محلا منصوب ہوگا جیسے ما تفعل تسئل عنہ
3392,جَا ئِزٌ کی صرفی تحقیق\n,جائز صیغہ واحد مذکر اسم فاعل ثلاثی مجرد اجوف واوی از باب نصر ینصر \nاصل میں جاوز تھا \nقاعدہ\nہر وہ واؤ اور یاء جو اسمِ فاعل کے عین کلمہ میں ہو اسے ہمزہ سے بدلنا واجب ہے بشرطیکہ اُسکی ماضی میں تعلیل ہو چکی ہو\n\nاس قاعدے کے تحت واؤ کو ہمزہ سے تبدیل کیا \n\n
3393,اللهم غيرني حتى تحبني۔۔اس ترکیب کے حساب سے تحبني کے ب پر حالت رفع رہے گی یا حالت نصب,حالت نصبی ہوگی
3394,غاب صیغہ کی صرفی تحقیق,صیغہ واحد مذکر غائب فعل ماضی مثبت معروف ثلاثی مجرد اجوف واوی از باب ضرب یضرب \nاصل میں غَیَبَ تھا یاء متحرک ما قبل مفتوح کو الف سے بدلا تو غاب ہو گیا
3395,Allah hi Akbar ka Kya matlb hota,اللہ اکبر کا مطلب ہوتا ہے کہ اللہ تعالیٰ ہر چیز ہے بڑا ہے اس کا مفضل علیہ محذوف ہے وہ ہے من کل شی یعنی اللہ پاک ہر چیز سے بھت بلند بھت اعلی ہے
3396,سوال۔اسم منصرف کیسے کہتے ہے,منصرف اس اسم کو کہتے ہیں جس میں اسباب منع صرف کے کوئی دو سبب یا ایک ایسا سبب پایا جائے جو دو سببوں کے قائم مقام ہو۔\nدوسرے لفظوں میں یہ بھی تعریف کی جاتی ہے کہ منصرف اس اسم کو کہتے ہیں جس پر کسرہ اور تنوین نہیں آتی۔
3397,لا یبصرون کیا صیغہ,لصیغہ جمع مذکر غائب، فعل مضارع منفی معروف، ثلاثی مجرد، صحیح از باب نصر ینصر
3398,موسی اورحبلی میں کیافرق ہے،اعراب تودونوں پرتقدیری ہےپھرحبلی غیرمنصرف ہےاورموسی منصرف ہےجبکہ موسی میں منع صرف کےدوعلتیں پائی جاتی ہیں ایک علم اور دوسری عجمہ,در اصل۔۔ یہاں دو چیزیں ہیں۔۔ ایک اعراب اور دوسرا منصرف و غیر منصرف ہونا۔۔۔\nاعراب میں دونوں پر الف مقصورہ ہے۔۔۔ \nلیکن حبلی یوں غیر منصرف ہے کہ اس میں تانیث اور الف مقصورہ اکٹھے ہو رہے ہیں۔۔۔\nجبکہ موسی بھی غیر منصرف ہے لیکن یہاں تانیث نہیں بلکہ علمیت اور عجمہ سبب ہے۔\nالبتہ اگر لفظِ موسی بطورِ علم استعمال نہ ہو، بلکہ  نکرہ ہو، تو اس صورت  میں یہ منصرف ہوگا۔
